audio,transcription,real transcription
myaudio/450001.wav, بنام خودام در سیلو که در خدمت شما خواهیم بود آموزش نرمفسار لتک هست,به نام خدا درسی رو که در خدمت شما خواهیم بود آموزش نرم افزار لتک هست
myaudio/450002.wav, دوغو کار کردن با لتک و ایجاد مستندات و مرچنهای فارسی,در واقع کار کردن با لتک و ایجاد مستندات و متن های فارسی
myaudio/450003.wav, اینگلیسی و کلان مستندات ایلمی هدافی نزک تجایی که,انگلیسی و کلا مستندات علمی هدف این است که تا جایی که
myaudio/450004.wav, ممکنه مطالبی روگی بیشتر کرای داره برا تون بداره تون میخوره در تول این ترم,که ممکنه مطالبی رو که بیشتر کارایی داره براتون به دردتون می خوره در طول این ترم
myaudio/450005.wav, آموزش داده بشه و مجموه خوبی در اختیار شما غرار بکیره,آموزش داده بشه و یه مجموعه ی خوبی در اختیار شما قرار بگیره
myaudio/450008.wav, کتابی رونه وشته بود، در زمینه رشته اونوک کامپیوتر ولی مو تستبانین، سیسم احروف چینیه مناصبی وجود,کتابی رو نوشته بود در زمینه ی در زمینه ی رشته ی علوم کامپیوتر ولی متاسفانه سیستم حروفچینی مناسبی وجود
myaudio/450011.wav, لائیسن 3 در اختیار انجامان ریاضی امریکا است و شما مجازید اندو استفاده کنید، کوپی کنید، تکسیر کنید,لایسنس اش در اختیار انجمن ریاضی آمریکاست و شما مجازید اون رو استفاده کنید کپی کنید تکثیر کنید
myaudio/450012.wav, دل اختیار هر کسی خاصتید قرار بدید، بدونین که هزینه بابتش نیاز بیر، پرداخت باشین، فقط حقی فروشه شو طبیعتن کسید.,در اختیار هر کسی خواستید قرار بدید بدون اینکه هیچ هزینه ایی بابت اش نیاز به پرداخت باشه فقط حق فروش اش طبیعتاً کسی
myaudio/450013.wav, نداری یعنی که سی از فروش نرمفسار حقی کس پی درامد نداری لتک,نداره یعنی کسی از فروش نرم افزار حق کسب درآمد نداریم لتک
myaudio/450015.wav, و تو نسی مجموه جدیدی اجاد بکنه که بکومه که اون امکانه,و تونست یه مجموعه ی جدیدی ایجاد بکنه که به کمک اون امکان
myaudio/450016.wav, تحییی موسمدات ایلمی و معمولی وجود داشت با یک سر قابلیتهای بیشتر از تک و عالبت هی یه مقدار,تهیه ی مستندات علمی و معمولی وجود داشت با یک سری قابلیت های بیشتر از تک و البته یه مقدار
myaudio/450017.wav, سادت هر هم شود کار بساهای موطنبی بیش اضافی شود و خیل سادت هر شود کار,ساده تر هم شد کار بسته های متنوعی بهش اضافه شد و خیلی ساده تر شد کار
myaudio/450018.wav, لتک مولد استفادش هر چیزیست که جنبه یه نوشتاری پیدا بکند شو همیتونید با هاش,لتک مورد استفاده اش هر چیزی ایست که جنبه ی نوشتاری پیدا بکند شما می تونید باهاش
myaudio/450019.wav, مهتن محمولی به نبیسید، کتاب به نبیسید، میتونید مقالب به نبیسید، میتونید گزارش به نبیسید، پایان نامه به نبیسید,متن معمولی بنویسید کتاب بنویسید می تونید مقاله بنویسید می تونید گزارش بنویسید پایان نامه بنویسید
myaudio/450020.wav, و هر چیزی که شما مخایی توولید بکنید که نیاز به نیوشتن داشته باشه، طبیتن لتک میتونه بکومه که ما بیاد.,و هر چیزی که شما می خواید تولید بکنید که نیاز به نوشتن داشته باشه طبیعتا لتک میتونه به کمک ما بیاید
